Station_ID,Station_Name,Day of Go_live_date,Status,Latitude,Longitude
3234,20th & Cuthbert,5/11/21,Active,39.954849,-75.172981
3235,16th & Callowhill,5/19/21,Active,39.959999,-75.1651
3236,24th & Pennsylvania,6/1/21,Active,39.96566,-75.17765
3237,Broad & Oregon,5/21/21,Active,39.917171,-75.170959
3238,6th & S Washington Square,6/1/21,Active,39.946281,-75.151382
3240,44th & Haverford,6/25/21,Active,39.962769,-75.211853
3241,52nd & Larchwood - Malcolm X Park,6/15/21,Active,39.952251,-75.226372
3243,8th & Diamond,7/8/21,Active,39.983501,-75.14743
3244,Broad & Carpenter,7/15/21,Active,39.938648,-75.16674
3245,Broad & Cecil B Moore,9/21/21,Active,39.97887,-75.157768
3246,50th & Baltimore,7/27/21,Active,39.947819,-75.223007
3247,47th & Aspen - Lucien Blackwell,7/21/21,Active,39.965382,-75.215141
3248,24th & Christian,8/2/21,Active,39.942131,-75.18335
3249,34th & Arch,8/16/21,Active,39.95784,-75.190788
3250,4th & Wood,9/28/21,Active,39.95673,-75.145752
3251,29th & Tasker,8/17/21,Active,39.933659,-75.193192
3252,30th & Oakford,8/23/21,Active,39.93882,-75.193237
3253,27th & Morris - Vare Recreation Center,8/31/21,Active,39.93174,-75.189957
3254,16th & Montgomery,9/22/21,Active,39.980911,-75.160652
3255,Broad & Chestnut,9/2/21,Active,39.950951,-75.164383
3256,23rd & Chestnut,9/21/21,Active,39.95269,-75.177788
3257,2nd & Snyder,10/19/21,Active,39.9216,-75.150002
3258,52nd & Chestnut,10/23/21,Active,39.958279,-75.224243
3259,Saunders & Pearl,11/5/21,Active,39.960159,-75.198837
3261,2nd & Brown,12/2/21,Active,39.963039,-75.140991
3263,43rd & Powelton,2/23/22,Active,39.958599,-75.208099
3265,Powelton & Lancaster,3/31/22,Active,39.959572,-75.196327
3266,Water & Mifflin,2/15/22,Active,39.923698,-75.147011
3267,19th & Oregon,2/17/22,Active,39.917999,-75.179604
3271,53rd & Baltimore,3/3/22,Active,39.947601,-75.229462
3272,50th & Haverford,3/11/22,Active,39.96405,-75.220482
3264,8th & Spruce,5/19/22,Active,,
3273,Ridge & Ferry,5/8/22,Active,,
3275,York & Aramingo,4/22/22,Active,,
3276,12th & Fairmount,4/22/22,Active,,
3277,20th & Berks,6/25/22,Active,,
3278,22nd & Sedgley,6/29/22,Active,,
